Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Nucleus/Cell area ratio	Subcellular: Channel 2: Num spots estimated	Subcellular: Channel 2: Num single spots	Subcellular: Channel 2: Num clusters	Subcellular: Channel 3: Num spots estimated	Subcellular: Channel 3: Num single spots	Subcellular: Channel 3: Num clusters	ROI: 1.00 px per pixel: Green: Mean	ROI: 1.00 px per pixel: Green: Std.dev.	ROI: 1.00 px per pixel: Green: Min	ROI: 1.00 px per pixel: Green: Max	ROI: 1.00 px per pixel: Green: Median	ROI: 1.00 px per pixel: Red: Mean	ROI: 1.00 px per pixel: Red: Std.dev.	ROI: 1.00 px per pixel: Red: Min	ROI: 1.00 px per pixel: Red: Max	ROI: 1.00 px per pixel: Red: Median
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	bccffaf0-6b90-4d96-bfef-d524f95094a1	Cell			Annotation	Polygon	117.01	3.279	79	43.2063	0.5318	18.701	5.9568	0.9449	16.8675	1400	11.0186	54	3	51	1.4458	120	1.8163	7	0	7	4.4458	369	2.3543	11	0	11	164	61.7726	0.5401	27.5031	8.6667	0.9542	10.6095	10.0925	54	0	1.5148	1.7117	7	0	5.9053	3.5191	18	0	4.5698	3.008	12	0	1.5814	1.6122	7	0	7.314	3.8783	18	0	0.476	0	0	0	0	0	0	1.4629	1.7045	0	7	0	5.8286	3.4665	0	18	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	921bb968-95c9-4791-9c51-b4f37a0bb0a8	Cell			Annotation	Polygon	551.74	5.702	187	56.7644	0.7293	22.5886	12.0444	0.848	22.9577	4339	9.622	47	3	44	1.873	354	1.8608	7	0	7	5.9206	1119	4.377	29	0	29	325	76.9408	0.6899	31.0221	14.8708	0.8948	16.6166	11.1762	47	0	1.8466	1.8976	7	0	5.6902	4.4326	29	0	7.8686	6.1271	31	0	1.8102	1.9536	7	0	5.3723	4.5049	21	0	0.5815	0	0	0	1	1	0	1.8037	1.8592	0	7	3.5	5.5583	4.3679	0	29	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	e1dcff17-cc17-4f72-8acd-1bf4e11387f1	Cell			Annotation	Polygon	757.31	17.34	1027	125.8489	0.8149	46.3371	32.1189	0.7514	10.9486	11299	4.0819	31	3	28	1.3333	1376	1.6879	7	0	7	7.2723	7505	4.0667	25	0	25	1518	147.7308	0.8741	55.0917	38	0.7086	9.0907	4.6413	31	0	1.297	1.6704	10	0	7.2168	4.6041	33	0	5.1776	3.0408	18	0	1.2204	1.6319	10	0	7.1	5.572	33	0	0.679	0	0	0	4	4	0	1.2891	1.6694	0	10	0	7.0999	4.5108	0	25	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	0e862e97-aba0-4bea-b68a-8e31c2793ad9	Cell			Annotation	Polygon	505.04	18.17	687	107.5219	0.7467	42.3349	21.7663	0.8648	15.3893	10634	7.0176	41	0	41	1.5384	1063	1.6671	7	0	7	6.1997	4284	3.6301	21	0	21	1181	131.6657	0.8561	51.4455	31.02	0.7936	11.3718	7.7407	41	0	1.6138	1.7577	10	0	6.9949	4.6791	32	0	5.7636	4.5665	28	0	1.7192	1.8735	10	0	8.1051	5.6562	32	0	0.5846	0	0	0	9	9	0	1.6477	1.7816	0	10	3.5	7.1779	4.7921	0	32	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	d926448c-8fa4-490b-a2c5-cf89228f1323	Cell			Annotation	Polygon	652.09	17	693	100.5309	0.8617	34.3661	28.0454	0.5236	10.8171	7572	8.6255	48	0	48	2.5829	1808	2.6358	17	0	17	4.0529	2837	3.3963	21	0	21	1141	124.3299	0.9276	42.5021	36.6686	0.3754	7.8635	7.8001	48	0	2.336	2.5471	17	0	4.2388	3.7094	25	0	3.1964	1.9726	15	0	1.9458	2.3508	13	0	4.5327	4.1434	25	0	0.6155	0	0	0	2	2	0	2.3269	2.5518	0	17	3.5	4.2445	3.7476	0	25	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	4d923fdb-4d4c-489f-bc7f-51889d8c34c0	Cell			Annotation	Polygon	847.29	22.94	995	122.2566	0.8365	44.8587	28.92	0.7678	12.7353	12748	6.1513	41	0	41	1.3407	1342	1.7392	14	0	14	7.4955	7503	4.2989	25	0	25	1544	147.243	0.8949	52.6092	37.6451	0.6723	9.5489	6.7446	41	0	1.2132	1.6747	14	0	6.6701	4.4831	25	0	3.6642	2.4969	19	0	0.9779	1.5223	10	0	5.1458	4.4201	25	0	0.6526	0	0	0	2	2	0	1.2304	1.6778	0	14	0	6.7502	4.477	0	25	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	ebcaa4fd-7306-4e99-9dc3-430f7f2b447d	Cell			Annotation	Polygon	103.28	22.79	800	108.5928	0.8525	38.0643	29.0604	0.6216	15.8691	12727	6.1035	38	0	38	1.5362	1232	1.6869	7	0	7	6.7469	5411	4.4668	32	0	32	1205	130.127	0.8943	43.7869	36.7906	0.5402	12.3297	7.3942	38	0	1.4615	1.6962	7	0	6.7788	4.7681	32	0	5.321	3.9036	34	0	1.3136	1.707	7	0	6.842	5.3199	29	0	0.662	0	0	0	6	6	0	1.455	1.6972	0	7	0	6.7142	4.7439	0	32	7.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	4901c23f-8d02-4423-a1bc-86b030baebc3	Cell			Annotation	Polygon	540.34	27.14	576	94.2801	0.8143	34.8448	23.2315	0.7093	21.2245	12289	11.8981	79	0	79	1.4836	859	1.7403	7	0	7	2.4784	1435	2.1957	14	0	14	964	115.4522	0.9088	40.8923	31.6369	0.5558	14.7211	12.4133	79	0	1.5238	1.8041	11	0	3.3771	3.248	21	0	5.0411	4.0107	31	0	1.5835	1.8958	11	0	4.7147	4.0139	21	0	0.6071	0	0	0	0	0	0	1.4905	1.7932	0	11	0	3.1442	2.9069	0	21	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	904c66cf-38fe-4c9f-ba20-c556a3b94510	Cell			Annotation	Polygon	137.76	29.51	493	85.8087	0.8414	31.5687	22.8006	0.5725	15.8489	7972	9.7458	50	0	50	2.7594	1388	2.1892	10	0	10	4.9682	2499	3.9056	21	0	21	813	107.8695	0.878	35.903	31.2849	0.1581	11.4419	9.5796	50	0	2.2644	2.125	10	0	4.8592	3.9065	22	0	4.3822	2.3875	15	0	1.4713	1.7497	7	0	4.6847	3.9078	22	0	0.6131	0	0	0	0	0	0	2.2873	2.1357	0	10	3.5	4.8184	3.8599	0	22	3.5
240610 DB3 iPSC Neurons _1E3 H33258b AAV1-mRuby3g MAP2-A647r X40 1_max_merged.tif	4af1a97f-a905-4845-baa8-c2e1d4e983ef	Cell			Annotation	Polygon	416.37	34.9	1019	119.7168	0.8935	42.3389	31.1815	0.6674	12.3483	12620	4.453	31	0	31	1.8209	1861	1.8579	10	0	10	10.137	10360	4.2377	33	0	33	1616	146.1167	0.9512	51.4359	40.6483	0.6152	9.4341	5.4575	31	0	1.7229	1.8764	13	0	10.5597	5.1033	36	0	4.4286	2.6898	18	0	1.5546	1.8976	13	0	11.2857	6.257	36	0	0.6348	0	0	0	25	25	0	1.7509	1.8846	0	13	3.5	10.5946	5.0837	0	36	11.5
